"guid","pgvrepairs","pgdrepairs","repairspkm","breakrate","leakrate","failprob","numpgvrpr","numpgdrpr","numrepairs","haz_expose"
"7f502c73-f0b9-4a1c-9c00-f76fb9d56ef1","1.0392513959532903","0.0","1.0392513959532903","0.20785027919065807","0.8314011167626323","0.033558765963759285","0.17067392520937305","0.0","0.17067392520937305","yes"
"9e0057c9-fc3e-4936-9667-9d540f54747f","1.0392513959532903","0.0","1.0392513959532903","0.20785027919065807","0.8314011167626323","0.03418417924145467","0.1739106234425786","0.0","0.1739106234425786","yes"
"ae96d76b-7524-4372-a5be-0dcc196cd870","1.0392513959532903","0.0","1.0392513959532903","0.20785027919065807","0.8314011167626323","0.03146573390001073","0.1598570808621845","0.0","0.1598570808621845","yes"
"6115ad4a-bb58-445b-ba74-3f2a87b929fd","1.0392513959532903","0.0","1.0392513959532903","0.20785027919065807","0.8314011167626323","0.06319067990269434","0.32637758941253386","0.0","0.32637758941253386","yes"
"fd9f6e0c-2580-4e3a-a6ff-09de43912ef7","1.308648736876958","0.0","1.308648736876958","0.2617297473753916","1.0469189895015665","0.04476921614844154","0.2290115460640372","0.0","0.2290115460640372","yes"
"6beea985-9f14-43a9-9496-491360106a00","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","no"
"a62aa946-c8a7-4530-bc9a-4327dff21823","1.3855894981407495","0.0","1.3855894981407495","0.2771178996281499","1.1084715985125997","0.01881327602438765","0.09496248542584323","0.0","0.09496248542584323","yes"
"9668cb11-a305-4bfa-a685-c4120517c783","1.3855894981407495","0.0","1.3855894981407495","0.2771178996281499","1.1084715985125997","0.046090441427009354","0.23593207181133613","0.0","0.23593207181133613","yes"
"8e3f265a-5b36-4722-bbdc-9cab64d743ca","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.14481262325876432","0.7821733998640417","0.0","0.7821733998640417","yes"
"05a96193-ed76-4dac-a2bd-18d3b3cc215f","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.06952238949586231","0.3602863248980419","0.0","0.3602863248980419","yes"
"8abf9b18-f663-4d49-8da7-f95f67035867","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.06136104576300783","0.31662186996577024","0.0","0.31662186996577024","yes"
"88e5f152-2433-45a5-bff8-44fa6667749c","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.07162447895128565","0.37159485872361925","0.0","0.37159485872361925","yes"
"d0e04705-8df3-4cf0-9ed6-492cd4eba123","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.06348473532431786","0.3279472876187542","0.0","0.3279472876187542","yes"
"0dfecbc9-5ad6-4b33-8eb9-d11ac60f5b1a","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.07189418529489189","0.37304764114760275","0.0","0.37304764114760275","yes"
"baef1f11-f30d-4ab3-b51c-aee29703fc3b","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.1328455038584676","0.7126906091749218","0.0","0.7126906091749218","yes"
"720eeb40-95fa-4780-9778-ba2b1cebc4bc","1.3855894981407495","0.0","1.3855894981407495","0.2771178996281499","1.1084715985125997","0.020073349049322453","0.10138778043657544","0.0","0.10138778043657544","yes"
"60de5507-ff54-4ec0-b517-d063f53e5277","1.3855894981407495","0.0","1.3855894981407495","0.2771178996281499","1.1084715985125997","0.009006301402255668","0.04523551651145111","0.0","0.04523551651145111","yes"
"58140d50-d4e6-4d1b-9712-5fe23d34dc79","1.3855894981407495","0.0","1.3855894981407495","0.2771178996281499","1.1084715985125997","0.04089877878642223","0.20879330478927444","0.0","0.20879330478927444","yes"
"71131cfd-122e-45e1-96bc-7aff12ae40e7","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.02522387023905326","0.12773722425204984","0.0","0.12773722425204984","yes"
"f56a167a-f6af-4bab-8a1f-4a6df487acaa","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.04250789923367004","0.21718903906881556","0.0","0.21718903906881556","yes"
"26628721-66ca-4f35-acb4-00dc5ae5ffaa","4.6357826046959","0.0","4.6357826046959","0.9271565209391801","3.7086260837567204","0.0419529818558817","0.21429211366628345","0.0","0.21429211366628345","yes"
"03d2e7cb-bf6b-46f9-91fe-57355559c911","1.0392513959532903","0.0","1.0392513959532903","0.20785027919065807","0.8314011167626323","0.06358824124218732","0.32849993017599066","0.0","0.32849993017599066","yes"
"0c3d8011-fa03-430b-a2b9-9d606e679db1","1.3855894981407495","0.0","1.3855894981407495","0.2771178996281499","1.1084715985125997","0.029238468720721777","0.14837215854358526","0.0","0.14837215854358526","yes"
"f21121d2-d297-42ca-ba86-15199b174209","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.0636221002159999","0.3286807244988441","0.0","0.3286807244988441","yes"
"e3b5c355-586c-43de-b3cc-c558be9c0e68","1.0392513959532903","0.0","1.0392513959532903","0.20785027919065807","0.8314011167626323","0.07649229475489772","0.39788067926452064","0.0","0.39788067926452064","yes"
"fdca26c1-c7c2-4c43-a653-22427ebd330d","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.06461707182432119","0.3339964234234824","0.0","0.3339964234234824","yes"
"5603f58d-7f02-4062-81cc-f90e4eb5b85f","1.0392513959532903","0.0","1.0392513959532903","0.20785027919065807","0.8314011167626323","0.09480061805624862","0.49800024003588855","0.0","0.49800024003588855","yes"
"8b4404d9-7de9-4e84-a7c1-b0665ac33709","1.3855894981407495","0.0","1.3855894981407495","0.2771178996281499","1.1084715985125997","0.027141209994450466","0.13758167895618265","0.0","0.13758167895618265","yes"
"cfccde3e-0240-42d6-8d1c-b22fa68b2d38","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.06968768183043172","0.3611746161148909","0.0","0.3611746161148909","yes"
"185e8c4f-103f-47b7-86ff-8d39d62366c9","4.618631660469165","0.0","4.618631660469165","0.9237263320938331","3.6949053283753326","0.061318231483767804","0.31639380941794515","0.0","0.31639380941794515","yes"
