"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"2048ed28-395e-4521-8fc5-44322534592e","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"d6ab5a29-1ca1-4096-a3c3-eb93b2178dfe","0.9992866773","0.9890626338","0.6715998116","0.2529601786","0.0007133227","0.0102240435","0.3174628222","0.4186396330","0.2529601786","yes"
"8d22fef3-71b6-4618-a565-955f4efe00bf","0.9995299189","0.9925521684","0.710159359","0.2822324674","0.0004700811","0.0069777505","0.2823928094","0.4279268916","0.2822324674","yes"
"cfe182a2-c39c-4734-bcd5-3d7cadab8aff","0.9994993034","0.9921032246","0.7045391923","0.2777608931","0.0005006966","0.0073960788","0.2875640323","0.4267782992","0.2777608931","yes"
