"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"2048ed28-395e-4521-8fc5-44322534592e","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"d6ab5a29-1ca1-4096-a3c3-eb93b2178dfe","0.9996370502","0.9941491767","0.732400412","0.3006947601","0.0003629498","0.0054878735","0.2617487647","0.4317056519","0.3006947601","yes"
"8d22fef3-71b6-4618-a565-955f4efe00bf","0.9997508652","0.9958974522","0.762484177","0.3278550631","0.0002491348","0.0038534130","0.2334132752","0.4346291139","0.3278550631","yes"
"cfe182a2-c39c-4734-bcd5-3d7cadab8aff","0.9996547674","0.9944175465","0.7365563669","0.3042890026","0.0003452326","0.0052372209","0.2578611796","0.4322673643","0.3042890026","yes"
