"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"2048ed28-395e-4521-8fc5-44322534592e","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"d6ab5a29-1ca1-4096-a3c3-eb93b2178dfe","0.9998600928","0.9976393255","0.8035230922","0.3698959329","0.0001399072","0.0022207673","0.1941162333","0.4336271593","0.3698959329","yes"
"8d22fef3-71b6-4618-a565-955f4efe00bf","0.9999191168","0.99861521","0.8370860848","0.4098612349","0.0000808832","0.0013039068","0.1615291252","0.4272248499","0.4098612349","yes"
"cfe182a2-c39c-4734-bcd5-3d7cadab8aff","0.9999191168","0.99861521","0.8370860848","0.4098612349","0.0000808832","0.0013039068","0.1615291252","0.4272248499","0.4098612349","yes"
