"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"2048ed28-395e-4521-8fc5-44322534592e","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"d6ab5a29-1ca1-4096-a3c3-eb93b2178dfe","0.9749141574","0.7926602629","0.2445619109","0.0561166691","0.0250858426","0.1822538945","0.5480983520","0.1884452418","0.0561166691","yes"
"8d22fef3-71b6-4618-a565-955f4efe00bf","0.9817627213","0.8353206482","0.2847318281","0.0683214701","0.0182372787","0.1464420731","0.5505888201","0.2164103580","0.0683214701","yes"
"cfe182a2-c39c-4734-bcd5-3d7cadab8aff","0.9809241648","0.8297950086","0.2790036774","0.0665238561","0.0190758352","0.1511291562","0.5507913312","0.2124798213","0.0665238561","yes"
