"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"2048ed28-395e-4521-8fc5-44322534592e","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"d6ab5a29-1ca1-4096-a3c3-eb93b2178dfe","0.9975097246","0.9667794799","0.5369370063","0.1708299394","0.0024902754","0.0307302447","0.4298424736","0.3661070669","0.1708299394","yes"
"8d22fef3-71b6-4618-a565-955f4efe00bf","0.9983278391","0.9765112777","0.5827467671","0.1958678814","0.0016721609","0.0218165614","0.3937645106","0.3868788857","0.1958678814","yes"
"cfe182a2-c39c-4734-bcd5-3d7cadab8aff","0.9982043019","0.9749946219","0.5747339789","0.1912992464","0.0017956981","0.0232096800","0.4002606430","0.3834347325","0.1912992464","yes"
